epoch,test_mre,test_mse,test_rank_spearman,train_mse,train_rank_spearman,valid_mre,valid_mse,valid_rank_spearman
31,0.05844639871802091,0.04274250829260093,0.7979999848884389,0.00611112592741847,1.0,0.04219051426333705,0.016471210426687533,0.6857142857142856
32,0.05844584149041167,0.042738818605977565,0.797905537631565,0.0061094071716070175,1.0,0.04218763492998521,0.016473300431213072,0.7464285714285712
33,0.05844578604146006,0.04273844530310501,0.8008749593876795,0.006107669789344072,1.0,0.04218733723107821,0.01647351045953978,0.7035714285714285
34,0.05844573336278596,0.0427380659336982,0.8011960800610507,0.006107492838054895,1.0,0.04218703600705707,0.016473735230570247,0.7142857142857142
35,0.05844568270898747,0.04273767751405569,0.7977581999108417,0.006107314955443144,1.0,0.042186727830325545,0.016473979405380288,0.7499999999999999
36,0.05844563791417457,0.04273727567744954,0.7993146907041232,0.006107132416218519,1.0,0.042186400745867006,0.01647424149399827,0.7392857142857142
37,0.058445600317533875,0.042736863738820616,0.7976637526539678,0.006106945686042309,1.0,0.04218607021851446,0.016474549052646708,0.7035714285714285
38,0.05844556817951076,0.042736426655633035,0.7998360395620668,0.0061067575588822365,1.0,0.042185715670805486,0.016474890108978787,0.7071428571428571
39,0.058445564062880366,0.04273639150033738,0.7968817293670521,0.006106564775109291,1.0,0.042185681388955384,0.016474912511452104,0.6607142857142856
40,0.058445561191948284,0.042736352291918245,0.7989406795669026,0.006106546614319086,1.0,0.04218564451248521,0.016474939371114553,0.6642857142857141
41,0.05844556090041657,0.04273631214151119,0.797905537631565,0.006106529850512743,1.0,0.042185613285111175,0.01647497523997081,0.6928571428571427
42,0.058445561223646574,0.04273627143255541,0.8005462829337585,0.006106512155383825,1.0,0.042185572220589496,0.016475014919206294,0.6749999999999999
43,0.05844555896740289,0.042736224447288335,0.7999758215022402,0.006106492597609758,1.0,0.04218553631954355,0.016475058561753908,0.7178571428571427
44,0.058445561912094525,0.04273617985969917,0.7980679869133882,0.006106475368142128,1.0,0.042185490231459254,0.01647510329645233,0.7
45,0.05844556145883918,0.042736129143614784,0.8019554360063166,0.006106457207351923,1.0,0.042185443152295374,0.01647515463297917,0.7571428571428571
46,0.05844556236911152,0.04273607821606106,0.8003498326394608,0.006106436252593994,1.0,0.04218540124088957,0.016475206625697354,0.6928571428571427
47,0.05844556545216367,0.04273602778133361,0.8021783315325389,0.006106415763497353,1.0,0.042185355316404535,0.016475263681309225,0.7464285714285712
48,0.058445569966383504,0.04273597637911603,0.8018761003105427,0.006106393877416849,1.0,0.0421853092549241,0.01647532315242156,0.7357142857142855
49,0.05844557233254446,0.04273592135726035,0.8012149695124255,0.006106373853981495,1.0,0.042185261568555364,0.016475385789985076,0.7499999999999999
