epoch,test_mre,test_mse,test_rank_spearman,train_mse,train_rank_spearman,valid_mre,valid_mse,valid_rank_spearman
0,0.14060383078366015,0.11209401790494769,0.5284172906482104,0.09887754172086716,1.0,0.1622853493039738,0.11817344726727333,0.4928571428571427
1,0.10774546672533514,0.07453118726824862,0.6921132762620043,0.0622142069041729,1.0,0.12560214576623432,0.08140420989259832,0.6785714285714285
2,0.08738212223005129,0.05976379884808754,0.7393935730530643,0.02599766105413437,1.0,0.10123486181781313,0.06248931715899177,0.7464285714285712
3,0.0812805601526898,0.06025442672329397,0.7557178369311441,0.013117823749780655,1.0,0.09152517232573873,0.0525232341489763,0.6642857142857141
4,0.07843830744595467,0.06234379381510362,0.7611353315854295,0.010947893373668194,1.0,0.08330320825407875,0.045400893414862246,0.7428571428571428
5,0.07352292929185228,0.060450774727464095,0.7685664417562657,0.012158106081187725,1.0,0.07356259126255704,0.03877023167089774,0.7
6,0.06754451962433883,0.05571491273441737,0.7760277750493015,0.01216203160583973,1.0,0.06562845630011856,0.033119226854715786,0.6678571428571428
7,0.06341747129431102,0.05130574506993818,0.7798207768853562,0.010679682716727257,1.0,0.06162884118072522,0.029423672064728058,0.7499999999999999
8,0.06112508664296387,0.04892234608661381,0.7831679876689662,0.00934271328151226,1.0,0.05791709217853163,0.027031740320516737,0.7857142857142856
9,0.060351425464961556,0.048233841910059555,0.7822952950154516,0.008858393877744675,1.0,0.054947199532736406,0.024666892678864547,0.7142857142857142
10,0.060130048055716645,0.04836355488279377,0.788366364687304,0.0088274497538805,1.0,0.05260431177267852,0.021997628797241327,0.7035714285714285
11,0.0599683104690003,0.04853442165687223,0.7899077439194856,0.008967484347522259,1.0,0.050522647758566276,0.019537799140130038,0.7535714285714286
12,0.05963823410154161,0.04807130406469465,0.7938065266832391,0.009133332408964634,1.0,0.04838547612574962,0.017686705702355345,0.7678571428571428
13,0.05906675438015351,0.046620205935396966,0.796481272997907,0.008944962173700333,1.0,0.04607181386613574,0.016433740214816576,0.7571428571428571
14,0.05865115810723553,0.04460113286495646,0.797327520419497,0.00814021471887827,1.0,0.04378814674219271,0.015940402697041313,0.7357142857142855
15,0.05862914158440745,0.0443940119284885,0.8006218407392576,0.007023721467703581,1.0,0.04356631350810618,0.0159226119398449,0.6678571428571428
16,0.05859787395085006,0.044160609972578535,0.7991144625195504,0.006914458237588406,1.0,0.04334188578310193,0.015927786758389642,0.6857142857142856
17,0.05857006101600309,0.04389946628881726,0.7997302586343683,0.006792353466153145,1.0,0.04311101494848459,0.01596319535769795,0.7035714285714285
18,0.05853942593476647,0.04361210185025318,0.7988046755170043,0.00665811775252223,1.0,0.04287155963218704,0.01603524957313477,0.7678571428571428
19,0.05850692187302441,0.04330176580295089,0.7994846957664962,0.006513847503811121,1.0,0.0426239294396279,0.016153545615718034,0.7785714285714285
20,0.05847332095208502,0.04297515670522509,0.7991446856417501,0.006363539956510067,1.0,0.042367274339490786,0.016323109595578592,0.7142857142857142
21,0.05846977127270674,0.042941437755290954,0.8007087322155815,0.006213106215000153,1.0,0.042341005496861234,0.01634326163119435,0.7142857142857142
22,0.058466135675789725,0.04290635039763705,0.798483554843633,0.006198087707161903,1.0,0.04231412235620081,0.01636545978359812,0.7642857142857141
23,0.058462311800394254,0.042870411811095376,0.799329802265223,0.006182524841278791,1.0,0.04228688052199943,0.016388846728062473,0.7749999999999999
24,0.058458262424994904,0.04283400893409216,0.7996849239510688,0.0061665987595915794,1.0,0.04225942628654021,0.01641283319706851,0.7428571428571428
25,0.058453877956783,0.04279738606645187,0.7999002636967412,0.006150446832180023,1.0,0.04223191805669802,0.01643683676294128,0.7642857142857141
26,0.05844909503654441,0.04276077655618244,0.801426531367823,0.006134166847914457,1.0,0.04220444718394907,0.01646040010614692,0.7285714285714285
27,0.05844858924319162,0.0427571245366978,0.7963339352771839,0.006117819808423519,1.0,0.0422017054532072,0.01646269008610188,0.7571428571428571
28,0.05844805756752421,0.042753475436708745,0.7975013033721449,0.006116172298789024,1.0,0.04219894515800926,0.016464897544738823,0.7428571428571428
29,0.058447512714076895,0.04274982693790694,0.7987253398212303,0.006114505231380463,1.0,0.04219616872204298,0.01646704295367503,0.7357142857142855
30,0.058446956703611136,0.042746174330023264,0.7996471450483192,0.006112824659794569,1.0,0.042193361792272156,0.01646913365880221,0.6749999999999999
